Ost;Nord
1620930;7588106
1564919;7500361
1622669;7588191
1344503;6962794
1603530;7593970
1325230;6959440
1517416;7415039
1461620;7189180
1627430;7534110
1321484;6941909
1622153;7583341
1324462;7012700
1341932;6978304
1621274;7588621
1621680;7587950
1673710;7443854
1602826;7592947
1617900;7593300
1464700;7191810
1617900;7593300
1619600;7589000
1607302;7606139
1321484;6941909
1330311;6919428
1341860;6977580
1595940;7596860
1665770;7566730
1609424;7595969
1319444;6967862
1337914;6950394
1485420;7240335
1624577;7587282
1363680;7035560
1708417;7607103
1616511;7480165
1677784;7668618
1491520;7252214
1528791;7473065
1620256;7586880
1465750;7195200
1690100;7543900
1320290;6961820
1633391;7588257
1617502;7589236
1465750;7195200
1528791;7473065
1708149;7452818
1328403;6961803
1344950;6875564
1620049;7588112
1330485;7019360
1452462;7217869
1452500;7218068
1465750;7195200
1441211;7009540
1487453;7240877
1329359;7005897
1619300;7589040
1465860;7193140
1516762;7318173
1331715;7020580
1349089;6953731
1611092;7594492
1389957;6982767
1618400;7532900
1528791;7473065
1528791;7473065
1417179;7192009
1619406;7589047
1691510;7630030
1323875;6951843
1620423;7590940
1503552;7407537
1626960;7587260
1528791;7473065
1326184;7012393
1464700;7191810
1621809;7587204
1319980;6944268
1467880;7301837
1622000;7588300
1619020;7589793
1342300;6978230
1478755;7207675
1455583;7337022
1528791;7473065
1342496;6979967
1539036;7470655
1611210;7594630
1584310;7429100
1582148;7525859
1336456;6829212
1600800;7595108
1608224;7452392
1622211;7588237
1325393;6959311
1465750;7195200
1618766;7592103
1344875;6875985
1518468;7416016
1331390;7020037
1613119;7357782
1329015;6962225
1604909;7593449
1608501;7609354
1432352;7229731
1328592;6962559
1328491;6962294
1473437;7259185
1342083;6977293
1321309;6956535
1606835;7606543
1583657;7429394
1700527;7460739
1324600;6959830
1615787;7595010
1627005;7534102
1622577;7587685
1318064;6943641
1622192;7588985
1667955;7555855
1619009;7591985
1322856;6944957
1633391;7588257
1344740;6876239
1367386;7020202
1620084;7586023
1329015;6962225
1570650;7515223
1468044;7301853
1643574;7535112
1468144;7307372
1346283;6963182
1603830;7592989
1624604;7582489
1634979;7532068
1559600;7497600
1342737;6964820
1344755;6966315
1526659;7305471
1318870;6942984
1516041;7325688
1342582;6961242
1617755;7591355
1618550;7593600
1468897;7220297
1332209;6942241
1343894;6963403
1332209;6942241
1450900;7217300
1312000;6950100
1318870;6942984
1522034;7331307
1572467;7518273
1617730;7593330
1314000;7029200
1449290;7308020
1705709;7608918
1328700;6961670
1318870;6942984
1619158;7589203
1624560;7587174
1626708;7533870
1694920;7637420
1344210;6963873
1619727;7590755
1549872;7363657
1571626;7517147
1375503;7000048
1328727;6962283
1363680;7035560
1344194;6963677
1528791;7473065
1520910;7475310
1374150;6926140
1621971;7585976
1429800;7218860
1426415;7183178
1611011;7595080
1312992;6952490
1620130;7602860
1624290;7587380
1324512;7010481
1344755;6966315
1620020;7588625
1633386;7588484
1710750;7606640
1344768;6953565
1437185;7222859
1716030;7605150
1622000;7588530
1634355;7587155
1716030;7605150
1432700;7218130
1328700;6961900
1341180;6979084
1315187;6946332
1602579;7603356
1331079;6941321
1341642;6977797
1504033;7407732
1667955;7555855
1425500;7203600
1324900;7012900
1344950;6875564
1528791;7473065
1528198;7473741
1432700;7218130
1321484;6941909
1317543;6892265
1318959;6944319
1707878;7452365
1538560;7468310
1312580;6949835
1452566;7305740
1510954;7319235
1465320;7230050
1618063;7593408
1340670;6964156
1618255;7593455
1492700;7252750
1342926;6961857
1344736;6876901
1331555;6942555
1618550;7593600
1593132;7440198
1528791;7473065
1619242;7588765
1609555;7597555
1336330;7027799
1619934;7590914
1328435;6962278
1450200;7309300
1636291;7531814
1321484;6941909
1511200;7319517
1631234;7534188
1507195;7330818
1624612;7587028
1321370;6944720
1450050;7294277
1633350;7531660
1618981;7591918
1622088;7588339
1603153;7593844
1464800;7191550
1363680;7035560
1503883;7406788
1620069;7603020
1342440;6977773
1484547;7239838
1663600;7573700
1622577;7587685
1450585;7308158
1621710;7588635
1450177;7306348
1693150;7633920
1341860;6977580
1313593;6948817
1464185;7226754
1312000;6950100
1398795;6971170
1528791;7473065
1316700;6945200
1332663;6941561
1617347;7482371
1332209;6942241
1711863;7413542
1603014;7593634
1340379;6963921
1587123;7465199
1714960;7377770
1344844;6963913
1425145;7209464
1478755;7207675
1313467;6948630
1466399;7226486
1516980;7332580
1349089;6953731
1619800;7602800
1331451;6941482
1518295;7317538
1564919;7500361
1434745;7228326
1315140;6946423
1526387;7388191
1667955;7555855
1621995;7588522
1315202;6946275
1612772;7458267
1508964;7405171
1538298;7470194
1778000;7160000
1342437;6961418
1502900;7407500
1318851;6944705
1469340;7308198
1343526;6961032
1618114;7533049
1619227;7589419
1343755;6873900
1466165;7031512
1626599;7534080
1603154;7593579
1624204;7587333
1620089;7588743
1545776;7371861
1528791;7473065
1616511;7480165
1622696;7588405
1622732;7588249
1693611;7535217
1620089;7588743
1344745;6966716
1328700;6961900
1665155;7567755
1635000;7534000
1527511;7473336
1448007;7220977
1633600;7587300
1622000;7588300
1627322;7587052
1465998;7230350
1504033;7407732
1628100;7580200
1467829;7301838
1784395;7563773
1617755;7593555
1528791;7473065
1318300;7020600
1328643;6961843
1620069;7603020
1449300;7220600
1633391;7588257
1315216;6946369
1342153;6977888
1528791;7473065
1357772;6784141
1633360;7531940
1673319;7443553
1622000;7588300
1561393;7509153
1488717;7219826
1615939;7594684
1624180;7587050
1437211;7222845
1363680;7035560
1619767;7589000
1595200;7594658
1464700;7191810
1583718;7429610
1326654;7011037
1333767;7015106
1435685;7220446
1409550;7083900
1619529;7588878
1619988;7588559
1552904;7541449
1711390;7586573
1336456;6829212
1528791;7473065
1321484;6941909
