Ost;Nord
1617395;6646116
1572011;6613753
1427196;6210787
1465019;6246287
1492178;6323773
1478483;6322403
1472490;6325760
1637224;7004994
1637662;7003155
1672582;7043592
1672582;7043592
1637662;7003155
1637662;7003155
1544353;6943117
1564887;6913724
1577728;6910081
1633377;6980808
1633318;6980842
1631799;6981264
1634014;6981482
1579937;6971869
1582365;6940961
1602618;6949255
1614230;6974145
1633318;6980842
1634057;6981525
1602618;6949255
1614230;6974145
1633377;6980808
1579949;6971889
1579964;6971879
1634014;6981482
1614201;6974131
1582365;6938960
1545913;6921725
1582582;6939200
1544353;6943117
1545990;6921702
1578782;6910405
1544423;6943100
1582365;6940961
1577728;6910081
1554308;6940724
1559401;6917659
1584910;6934760
1602618;6949255
1564858;6913735
1545913;6921725
1545990;6921702
1614230;6974145
1582582;6939200
1579937;6971869
1582365;6940961
1545990;6921702
1578782;6910405
1544423;6943100
1559711;6917634
1577776;6910211
1554308;6940724
1545990;6921702
1633321;6980802
1637662;7003155
1638108;6989548
1638108;6989548
1638108;6989548
1638108;6989548
1638108;6989548
1638108;6989548
1584734;6933664
1585182;6933813
1585182;6933813
1585182;6933813
1584734;6933664
1585182;6933813
1589291;6927653
1589291;6927653
1635884;7000060
1635884;7000060
1635884;7000060
1635884;7000060
1635884;7000060
1635884;7000060
1672582;7043592
1672582;7043592
1630863;6982292
1574301;6977648
1574281;6977706
1574278;6977708
1574017;6977992
1574045;6978056
1598851;6997846
1630863;6982290
1630866;6982287
1570082;6931854
1489957;6944448
1584550;6926640
1501539;6939898
1576312;6929733
1584550;6926640
1562102;6950344
1562557;6929947
1562788;6929937
1570082;6931854
1489957;6944448
1489289;6942290
1500943;6923788
1570082;6931854
1570075;6931869
1584272;6928637
1501575;6939917
1501539;6939898
1501539;6939898
1500982;6938127
1500987;6938075
1489232;6942295
1502262;6912592
1517796;6911522
1545634;6912028
1533348;6904120
1562102;6950344
1576326;6929758
1549838;6904950
1549838;6904950
1549780;6904945
1557955;6899423
1562788;6929937
1489232;6942295
1533289;6904114
1545634;6912028
1568011;6932289
1584328;6928588
1584272;6928637
1584549;6926705
1562549;6929994
1489232;6942295
1533348;6904120
1490075;6944423
1576326;6929758
1570075;6931869
1576299;6929760
1562549;6929994
1545634;6912028
1562102;6950344
1490075;6944423
1490028;6944463
1375515;6441567
1379441;6460363
1379363;6460528
1375785;6441949
1373105;6439769
1379698;6461663
1448157;6593131
1465845;6489043
1465845;6489043
1447679;6462728
1483740;6413824
1492199;6526264
1517390;6311514
1536482;6336181
1536142;6336013
1506242;6311497
1517273;6311761
1536296;6336274
1536232;6336166
1485581;6357260
1553058;6280518
1553055;6280082
1510048;6312222
1660747;6670466
1661325;6669590
1327473;6577523
1329338;6584947
1329470;6584810
1327393;6577603
1327473;6577523
1327393;6577603
1327473;6577523
1366400;6688211
1357730;6706210
1350380;6720805
1369946;6622145
1331205;6720493
1382267;6642971
1383484;6641540
1375357;6663816
1374005;6672865
1369083;6687298
1366400;6688211
1357730;6706210
1348056;6724884
1350380;6720805
1369946;6622145
1359496;6588467
1382267;6642971
1383484;6641540
1329470;6584810
1329338;6584947
1359496;6588467
1369403;6621472
1374005;6672865
1369946;6622145
1382491;6643137
1382267;6642971
1375357;6663816
1357730;6706210
1348056;6724884
1350380;6720805
1327473;6577523
1329470;6584810
1375357;6663816
1374005;6672865
1330090;6650460
1320599;6650049
1318730;6674510
1360465;6619849
1335623;6740513
1346250;6681600
1345960;6682720
1346303;6682985
1372668;6650689
1359496;6588467
1357730;6706210
1350291;6720870
1327473;6577523
1327393;6577603
1329470;6584810
1329338;6584947
1366400;6688211
1357730;6706210
1329470;6584810
1327393;6577603
1327473;6577523
1366400;6688211
1357730;6706210
1348056;6724884
1350380;6720805
1361195;6587755
1361195;6587755
1360835;6589125
1361250;6587590
1268057;6391173
1619178;6591007
1619215;6591050
1622485;6589291
1627296;6581794
1627275;6581814
1631835;6581699
1630685;6574464
1630629;6574613
1620101;6584259
1620309;6576849
1618105;6573977
1618226;6574008
1618274;6574062
1613197;6586110
1613206;6586111
1618085;6573940
1618235;6574017
1620159;6584408
1619727;6588964
1619650;6589119
1619625;6588947
1619617;6575437
1628689;6572453
1628683;6572476
1628846;6572546
1630742;6572662
1630751;6572647
1630758;6572641
1630638;6572333
1630617;6572352
1622467;6589313
1629228;6584639
1631713;6581790
1631730;6581908
1627261;6581818
1627271;6581816
1628616;6572484
1628684;6572391
1628877;6572542
1367140;6584450
1367075;6584765
1613056;6586892
1611886;6587279
1611853;6587450
1612195;6587261
1509070;6508370
1625823;6588255
1625919;6588175
1441642;6299471
1275044;6384480
1275044;6384480
1286906;6341607
1286906;6341607
1561929;6930407
1561929;6930407
1561929;6930407
1561023;6930919
1561023;6930919
1561846;6930528
1468843;6684334
1582121;6954200
1581641;6950567
1582283;6955552
1582283;6955552
1582576;6957380
1582576;6957380
1618980;6588055
1619025;6588091
1275057;6384470
1275057;6384470
1373610;6457718
1367865;6434756
1378341;6462568
1378340;6462558
1376399;6462839
1376762;6463179
1320896;6418454
1320901;6418469
1617612;6570236
1611457;6575279
1610631;6575377
1371657;6589540
1371077;6586309
1372434;6594770
1372434;6594770
1367180;6588734
1360349;6592443
1369889;6585680
1372335;6591213
1630210;6700818
1630381;6700883
1630342;6700839
1629729;6701253
1630758;6701072
1630863;6700898
1630863;6700898
1631044;6701083
1631044;6701083
1629756;6701179
1630879;6700993
1630342;6700839
1630342;6700839
1630343;6700858
1276301;6407131
1458983;6733644
1453209;6695766
1668250;6641950
1644551;6671029
1586336;6645044
1606485;6644846
1467518;7294525
1324833;6166500
1324457;6166632
1596144;6626581
1719653;7088823
1548810;6602670
1558750;6602660
1548810;6602670
1430202;7015849
1480825;6959274
1429473;7015538
1580678;6909935
1547017;6279139
1601735;6640178
1601650;6640118
1599170;6938774
1604578;6674488
1645654;7026553
1645654;7026553
1577010;6586700
1564755;6572666
1301890;6489590
1301760;6488550
1301760;6488550
1301760;6488550
1301760;6488550
1329262;6402994
1301760;6488550
1301760;6488550
1482370;6879450
1577511;6652599
1605898;6650218
1605907;6650200
1520400;6630382
1492477;6580409
1541777;6645229
1531562;6610802
1540486;6620353
1668095;6654969
1540486;6620353
1560054;6603566
1546968;6610889
1544257;6646718
1540486;6620353
1540841;6623975
1540486;6620353
1540841;6623975
1490059;6619091
1547027;6618614
1548126;6625052
1495223;6719686
1494981;6719647
1494679;6718838
1456995;6734612
1456995;6734612
1456995;6734612
1457352;6734658
1495223;6719686
1392166;6206915
1394921;6207293
1392882;6200360
1429203;6328834
1375875;6274227
1392136;6183829
1395988;6183019
1562877;6636443
1572713;6623098
1572399;6625276
1607744;6659250
1557686;6655910
1588976;6718950
1588976;6718950
1588976;6718950
1429344;6329575
1601604;6642912
1604052;6635896
1607015;6658281
1601987;6643245
1606989;6658291
1601672;6643056
1601987;6643245
1602118;6643518
1604085;6635814
1581171;6608008
1575661;6609484
1557716;6655914
1558907;6649416
1575710;6609375
1557917;6651850
1588402;6631411
1614026;6633636
1626735;6665287
1626735;6665287
1562693;6638120
1647824;6668573
1562679;6636814
1308268;6303557
1678521;6365649
1668029;6574719
1477520;6354630
1477520;6354630
1598820;6636863
1517551;6334020
1394541;6184056
1394541;6184056
1406133;6161555
1634008;6577233
1572807;6614462
1270900;6416100
1826144;7369958
1803072;7387076
1596989;6648618
1596989;6648618
1598974;6638874
1424638;6309032
1673395;7044739
1677396;7042048
1355603;6631842
1520337;6670402
1519551;6670773
1451745;6393495
1524736;6425533
1558745;6438278
1698569;6430063
1543179;6286779
1624612;6585365
1624630;6585489
1627506;6585119
1618256;6599686
1621076;6602153
1620904;6602887
1619267;6600745
1618172;6604384
1619267;6600745
1620214;6602084
1620848;6603101
1618172;6604384
1618741;6600342
1619361;6604823
1619267;6600745
1618172;6604384
1401737;6360549
1721324;7085534
1715391;7085232
1722067;7079439
1732601;7082098
1711333;7089115
1330170;6606322
1331112;6606612
1330170;6606322
1330170;6606322
1333791;6942199
1330170;6606322
1331160;6606680
1604252;6634463
1330170;6606322
1328396;6605847
1330170;6606322
1504851;6573914
1450117;6548597
1461032;6596882
1456066;6601479
1542443;6286124
1655405;6573232
1655405;6573232
1655405;6573232
1608502;6543347
1348108;6198211
1477510;6432610
1477510;6432610
1477510;6432610
1327871;6176717
1513348;6704525
1447934;6233822
1459585;6246973
1441849;6299565
1573579;7007291
1315181;6946390
1316162;6946428
1510988;7318326
1320963;6285909
1320963;6285909
1320229;6256606
1321175;6256188
1516242;6600491
1516242;6600491
1383135;6398565
1346518;6325702
1308489;6298847
1321262;6299455
1321419;6293285
1554045;6511094
1284863;6338959
1330519;6948351
1318062;6285834
1333942;6289762
1322526;6250735
1310563;6264082
1310066;6264587
1310066;6264587
1292765;6246437
1550995;6285382
1326272;6255930
1362389;6198296
1537306;6243484
1544301;6244297
1326372;6952427
1286245;6335557
1320956;6261718
1384360;6174871
1334260;6421776
1505013;6347459
1530023;6326541
1294011;6354804
1554045;6511094
1300067;6262205
1422639;6248211
1304547;6365488
1537176;6336652
1531398;6323605
1334010;6289775
1334010;6289775
1380833;6339579
1350506;6623983
1333942;6289762
1333063;6287830
1334507;6287329
1333942;6289762
1330009;6300081
1369555;6287535
1284863;6338959
1554045;6511094
1333942;6289762
1323956;6287465
1337688;6840900
1719454;7087212
1719657;7087311
1779481;7411257
1760989;7262782
1873423;7342706
1311885;6303458
1599179;6938777
1348477;6182742
1348477;6182742
1724540;7086050
1724540;7086050
1724540;7086050
1724540;7086050
1723140;7075040
1723140;7075040
1723325;7075123
1722080;7068711
1722170;7068320
1722080;7068711
1722043;7069044
1606268;6606987
1620754;6566050
1435065;6453418
1435065;6453418
1434490;6471040
1433387;6464704
1435065;6453418
1442341;6467931
1442400;6468150
1435065;6453418
1435065;6453418
1435065;6453418
1574310;6540130
1604650;6617550
1581319;6723899
1249670;6470260
1266711;6448017
1249670;6470260
1249670;6470260
1274049;6446786
1461099;6609941
1726502;7086288
1692444;7057862
1722209;7079513
1673160;7060370
1712960;7096598
1732911;7284446
1682665;7074087
1715630;7085320
1755760;7088186
1741538;7089836
1515095;7331661
1755760;7088186
1726502;7086288
1726502;7086288
1726502;7086288
1702844;7065939
1726502;7086288
1726502;7086288
1726502;7086288
1739978;7295620
1696000;7052450
1692473;7057814
1482463;6579122
1726502;7086288
1738947;7084956
1617863;6602154
1404378;6292542
1551713;6277332
1714955;7378465
1714955;7378465
1553399;6505272
1565178;6507299
1551116;6507470
1282481;6353212
1569736;6509433
1488652;6229067
1486160;6231650
1534956;6283794
1533876;6289877
1512690;6252017
1532286;6285888
1532256;6285699
1397432;6269744
1396551;6271411
1396314;6271922
1500299;6378175
1419056;6295841
1436409;6307003
1400336;6332151
1437530;6304963
1425038;6321991
1519408;6285279
1432870;6323710
1437530;6304963
1297117;6312796
1409050;6410660
1409050;6410660
1409050;6410660
1409050;6410660
1432993;7010466
1438901;7007080
1432769;7010530
1432769;7010530
1432971;7010529
1280593;6346174
1335709;6150094
1523415;6621645
1582997;6637874
1537969;6617023
1600409;6631125
1601229;6633465
1663656;6632025
1663656;6632025
1627260;6567190
1628255;6562589
1614852;6554733
1620953;6573554
1630982;6565319
1623793;6565455
1625306;6567631
1614852;6554733
1451314;6995177
1314360;6377024
1288574;6391231
1327612;6439926
1348862;6439099
1533716;6727607
1482133;6813446
1548397;6753156
1549206;6751777
1520797;6670172
1498482;6722441
1498482;6722441
1369194;6753826
1369194;6753826
1428114;6770066
1520509;6670299
1386718;6408579
1384100;6447787
1249278;6524192
1384100;6447787
1370440;6420046
1251968;6405413
1554882;6690271
1587812;6835287
1487715;6803696
1517403;6839664
1543907;6860314
1392984;6341787
1393005;6340963
1393005;6340963
1392357;6337051
1427855;6771047
1369194;6753826
1554882;6690271
1541506;6754957
1535667;6697105
1542273;6714312
1392357;6337051
1392984;6341787
1386718;6408579
1345488;6335979
1365142;6330326
1429078;6435407
1464599;6389288
1345488;6335979
1398136;6362391
1398136;6362391
1345488;6335979
1365142;6330326
1356302;6336950
1356302;6336950
1423937;6388645
1549143;6758750
1542273;6714312
1582813;6720669
1541371;6791275
1532463;6817690
1555605;6798055
1541506;6754957
1554882;6690271
1515173;6806987
1549143;6758750
1586923;6835521
1539461;6701705
1512230;6680984
1461028;6717686
1502401;6697301
1500501;6704745
1501839;6724719
1369943;6750654
1263270;6499220
1370440;6420046
1335339;6351451
1370440;6420046
1370440;6420046
1249278;6524192
1319455;6455404
1319455;6455404
1319455;6455404
1335339;6351451
1319397;6289064
1318983;6288883
1574738;6727744
1589323;6715311
1523714;6595619
1501702;6659072
1482951;6476427
1590577;6719348
1590577;6719348
1575447;6727030
1590550;6718480
1575370;6726660
1561763;6663301
1459853;6721126
1355563;6428851
1366527;6761790
1561835;6668003
1459853;6721126
1561835;6668003
1527392;6595177
1648756;6640171
1418120;6648373
1511350;6285997
1419104;6647267
1574738;6727744
1350574;6401412
1315476;6442126
1273908;6522190
1224502;6540088
1350574;6401412
1347742;6435026
1392713;6472581
1384104;6447760
1424965;6494256
1424965;6494256
1424965;6494256
1571153;6731354
1569680;6509429
1305881;6299793
1305795;6300081
1451324;6576064
1452095;6578858
1452380;6578520
1451449;6576050
1451987;6576428
1461550;6576725
1451842;6598974
1450786;6576422
1451251;6576024
1452126;6576812
1450089;6577208
1451251;6576024
1451251;6576024
1452217;6578877
1451251;6576024
1451251;6576024
1451251;6576024
1452255;6578845
1452223;6578872
1452223;6578872
1475168;6532628
1472483;6533796
1472454;6533824
1472464;6533796
1451408;6575917
1466190;6571972
1451251;6576024
1451251;6576024
1451251;6576024
1451202;6576089
1450860;6575219
1451203;6575590
1450942;6575111
1450946;6575590
1450950;6575681
1450948;6575663
1469578;6546786
1458102;6580464
1437016;6574735
1450950;6575656
1451191;6576332
1451114;6575759
1451114;6575759
1451114;6575759
1428954;6621357
1466279;6573395
1436467;6573846
1449112;6579027
1443945;6577855
1443794;6577356
1451088;6576208
1466914;6572787
1450839;6575238
1457115;6588389
1450648;6569527
1440523;6518695
1423260;6556838
1434966;6571361
1447897;6537862
1451251;6576024
1482232;6615039
1444718;6574540
1444340;6550090
1441814;6581745
1452451;6579125
1425733;6562730
1422478;6555981
1459029;6601716
1460583;6586558
1450927;6575568
1451988;6576726
1451988;6576726
1467055;6572596
1451202;6576089
1451202;6576089
1452217;6578877
1451251;6576024
1452216;6578855
1452255;6578845
1462638;6572349
1472415;6533830
1472415;6533830
1451251;6576024
1452216;6578855
1451251;6576024
1451251;6576024
1451251;6576024
1452206;6578867
1451251;6576024
1451251;6576024
1451251;6576024
1451251;6576024
1451251;6576024
1451251;6576024
1451251;6576024
1451251;6576024
1449632;6573971
1451251;6576024
1451251;6576024
1456119;6578212
1452389;6579194
1439921;6580608
1426255;6549821
1449788;6578491
1450839;6517924
1450965;6576260
1451901;6578301
1445289;6576845
1453557;6573572
1466011;6541882
1466057;6541872
1450786;6576422
1453643;6573597
1461497;6576821
1451220;6576218
1454591;6656256
1454591;6656256
1449710;6578613
1450981;6576374
1454608;6656229
1486299;6554045
1453581;6573554
1453493;6573614
1439829;6567422
1442155;6578270
1453929;6574712
1450482;6576218
1450843;6575747
1451199;6576025
1450270;6575866
1449736;6648618
1450939;6576837
1450993;6576396
1451329;6576169
1450963;6575913
1450961;6575744
1448330;6578173
1442162;6577624
1452196;6578876
1462340;6571463
1461576;6579908
1442483;6574114
1442178;6517588
1451944;6576314
1446641;6616614
1446641;6616614
1446229;6618109
1442483;6574114
1442483;6574114
1437027;6620036
1437027;6620036
1437590;6620489
1437639;6620442
1437851;6620384
1437639;6620442
1461182;6589817
1461182;6589817
1451987;6576438
1443664;6591897
1451884;6576922
1450806;6575221
1468254;6548376
1450271;6577200
1453556;6574295
1450149;6577142
1450131;6577156
1438588;6620507
1457023;6587192
1457081;6588382
1448397;6578088
1451251;6576024
1270576;6400396
1257580;6398417
1270222;6401693
1403943;6210719
1403394;6211655
1634500;6568430
1634500;6568430
1634500;6568430
1634500;6568430
1334295;6637891
1314101;6256540
1324100;6225830
1344660;6211810
1314101;6256540
1314249;6256697
1405342;6389296
1231286;6534376
1230671;6537023
1404944;6204104
1404942;6204195
1626004;6582116
1511640;6684044
1615114;6556839
1619676;6557760
1619935;6557987
1619685;6557918
1619794;6557978
1621179;6561806
1621007;6560922
1621227;6560803
1621000;6559872
1615075;6556832
1614994;6556863
1619676;6557760
1619906;6557949
1619794;6557978
1621179;6561806
1621253;6560783
1614994;6556863
1615129;6556891
1615075;6556832
1623808;6585789
1615074;6563716
1410256;6394861
1410256;6394861
1477581;6354499
1436586;6420497
1474353;6389774
1448509;6396844
1594954;6606402
1597825;6607151
1544674;6616566
1482269;6356155
1475255;6361729
1476913;6355145
1481396;6356898
1628061;6582198
1379539;6394889
1531472;6278490
1520364;6284686
1518906;6285503
1427769;6394635
1458853;6366912
1429443;6367392
1433345;6365365
1451839;6397902
1451839;6397902
1450159;6397643
1450062;6387259
1458887;6366868
1453750;6366443
1429402;6367411
1433379;6365414
1451896;6398009
1450105;6397930
1450105;6397930
1428741;6396840
1447741;6418928
1449878;6386705
1476250;6389801
1476250;6389801
1397816;6420350
1397816;6420350
1397816;6420350
1409014;6390689
1471211;6362858
1476250;6389801
1449878;6386705
1447741;6418928
1376352;6228206
1373790;6228620
1629030;6581066
1350422;6642258
1324472;6254557
1318010;6288870
1321684;6282264
1541025;6275478
1629400;6601150
1628840;6606449
1381879;6490624
1451677;6508277
1451677;6508277
1380494;6155644
1304280;6362550
1416678;6629301
1394981;6182938
1420895;6273604
1314950;6561560
1346905;6585917
1346905;6585917
1341227;6734293
1346905;6585917
1346905;6585917
1394950;6613230
1346905;6585917
1508084;6585731
1293958;6354800
1292994;6335133
1292994;6335133
1276994;6350679
1543493;6624926
1293482;6334643
1402740;6255660
1400999;6277341
1402218;6279438
1399573;6276666
1401051;6277325
1402271;6279494
1399271;6276610
1402286;6279508
1402740;6255660
1402740;6255637
1400953;6277309
1401051;6277325
1400929;6276853
1401069;6277227
1401069;6277227
1399371;6278693
1401069;6277227
1401124;6277245
1439050;6368050
1367299;6601768
1443440;6722420
1337114;6740328
1332282;6747497
1330489;6749570
1374972;6662674
1316368;6752935
1293076;6602357
1287439;6614379
1346464;6683224
1367299;6601768
1367299;6601768
1395249;6615937
1428445;6579790
1621592;6568919
1302470;6224510
1425555;6770958
1327311;6944481
1285675;6337477
1515850;6629728
1534990;6702930
1534990;6702930
1450212;6608952
1611015;6647374
1596980;6642330
1607821;6645937
1601787;6640593
1596725;6642603
1596980;6642330
1601690;6640140
1601690;6640140
1601690;6640140
1596980;6642330
1758791;7221488
1405500;6201373
1382001;6925091
1526245;6750209
1530031;6744711
1295158;6569770
1327477;6577523
1369793;6582131
1341717;6688804
1402976;6549905
1321899;6772241
1299955;6578177
1345661;6682036
1316333;6762080
1323253;6760555
1297890;6599369
1315613;6594707
1315613;6594707
1312465;6619616
1312195;6619835
1321263;6671905
1400357;6588281
1400602;6582384
1400602;6582384
1351555;6375720
1384284;6473119
1472015;6383291
1395560;6346309
1476527;6362195
1476527;6362195
1387599;6423927
1454135;6359639
1308260;6321660
1270910;6416496
1722228;7138884
1481946;6610759
1481895;6610757
1481869;6610928
1481335;6613565
1482134;6617007
1714800;7087100
1539668;6991679
1712700;7096900
1470313;6978079
1507135;7121913
1454283;6898586
1465344;6896852
1712490;7096750
1462597;6971850
1470599;6978008
1501372;7094026
1562240;6323665
1712700;7096900
1714800;7087100
1712490;7096750
1685714;7103782
1619361;6604823
1394525;6705508
1396805;6703727
1396551;6707737
