Ost;Nord
1497020;6660010
1755160;7268380
1756900;7263400
1753690;7268390
1460680;7019410
1767500;7250700
1332680;6745440
1274570;6385850
1688000;7215000
1712750;7097050
1712850;7096650
1559600;7497600
1665450;7398550
1657550;7397550
1339040;6738880
1348090;6724830
1602630;6647669
1480600;6726970
1643455;6363555
1624830;7586190
1644600;6997100
1643400;6996400
1465750;7195200
1284500;6400400
1292670;6418920
1264170;6404590
1284500;6400400
1284500;6400400
1320440;6774290
1568800;7217800
1338400;6739030
1687600;7112100
1328700;6961900
1468050;7301700
1623000;7587400
1266360;6403470
1676000;7385000
1448435;6637719
1452800;6641457
1331280;6656020
1626870;7599550
1690100;7543900
1619800;7602800
1307610;6769010
1451655;6508455
1463119;6566006
1719470;7210820
1654150;6682740
1722040;7134460
1689200;7104280
1720450;7082700
1714955;7378465
1470400;6630500
1724500;7089700
1500980;6938070
1419740;6759790
1323280;6759730
1516980;7332580
1397530;6210700
1653156;6359618
1672674;6361666
1674654;6363007
1661813;6363715
1658688;6366551
1647887;6372072
1653270;6359617
1281670;6359820
1682450;7131300
1374500;6482000
1532358;6347053
1308970;6290470
1749800;7085410
1364300;6291500
1395830;6217320
1292780;6401490
1706180;7308600
1740000;7538100
1402240;6239410
1344390;6730880
1325800;6707420
1530780;6487514
1722187;7134327
1655370;7150376
1652711;7152599
1647000;7163300
1330319;6301758
1708338;6431435
1708473;6431502
1466492;6291804
1332147;6272812
1353201;6381152
1465398;6670335
1330319;6301758
1330319;6301758
1482386;6371455
1261030;6445800
1544700;6645465
1590394;6711951
1335240;6276790
1484628;6699871
1590394;6711951
1423839;6881376
1325150;6754110
1335700;6760760
1350510;6523690
1655933;7156155
1622000;7588300
1694000;7064000
1729868;7162784
1317500;6666300
1706100;7105900
1622000;7588300
1316540;6774020
1351010;6720000
1419740;6759790
1750000;7072500
1665170;6577550
1357450;6706260
1475401;7224633
1474944;7222978
1474944;7222978
1468706;7220742
1474471;7204187
1462770;7189250
1465590;7194600
1465860;7193140
1474699;7222070
1375555;6595555
1738362;7238370
1742351;7269471
1678721;7410536
1667512;7422931
1673631;7445146
1527511;7473336
1383530;6641570
1345020;6730150
1670450;7062750
1350300;6720850
1578781;7509606
1366103;6587247
1646800;6390430
1325200;6707340
1325200;6707340
1325200;6707340
1667555;6389555
1656850;7178500
1673425;6651515
1657100;7178200
1778555;7161555
1778555;7161555
1684555;6420555
1759555;7208555
1759555;7208555
1494555;6793555
1494555;6792555
1738956;7258624
1778555;7161555
1759555;7208555
1493555;6793555
1357850;6706300
1340820;6735630
1552000;7302000
1357850;6706300
1515900;6501838
1439451;6466884
1551590;7301640
1551590;7301640
1595602;6617458
1595602;6617414
1595684;6617544
1629771;6658418
1778000;7161000
1723230;7084884
1352310;6275850
1352310;6275850
1341120;6291820
1341120;6291820
1336290;6839680
1785019;7284402
1335700;6760760
1789181;7283182
1698867;7223437
1258860;6398550
1345109;6955050
1341120;6291820
1464800;7191550
1462770;7189250
1624310;7272220
1532560;6346540
1378260;6589060
1351452;6614248
1471000;6677000
1544060;6245370
1369100;6687330
1619380;7589150
1619150;6516400
1371942;6578654
1351010;6720000
1350300;6720850
1478755;7207675
1371942;6578654
1470267;6664705
1492700;7252750
1515020;7250120
1725341;7089738
1654223;7153512
1377520;6487926
1505868;7125653
1508612;7121922
1722023;7069035
1709687;7090925
1607540;6537280
1721480;7091040
1808110;7384390
1646290;6552030
1669360;6580100
1623770;6536620
1661490;6560050
1652380;6550630
1651760;6546560
1393460;6611540
1380200;6164180
1393460;6611540
1541823;7069186
1572298;6981642
1638123;6989593
1575434;6974756
1594910;7050731
1593211;7051012
1527284;7052574
1527329;7052553
1592693;7051087
1527284;7052574
1605168;7061184
1605235;7061321
1605120;7061184
1605973;7062137
1559594;7063578
1559594;7063578
1559594;7063578
1559561;7063639
1559561;7063639
1559561;7063639
1557488;7064032
1540481;7070388
1540481;7070388
1544276;7078238
1716050;7605400
1730940;7517510
1690050;7545430
1678489;7543755
1622530;7587875
1678489;7543755
1544276;7078238
1446701;6249373
1661490;6560050
1557488;7064032
1571626;7517147
1678868;7410733
1540458;7070372
1540481;7070388
1546521;6612653
1542609;7080605
1542609;7080605
1242390;6552700
1592693;7051087
1605168;7061184
1605235;7061321
1605235;7061321
1632723;7079357
1631192;7086192
1665100;6577560
1570883;7011727
1545891;7018516
1263680;6403800
1592693;7051087
1528791;7473065
1528791;7473065
1419800;6759800
1369369;6725526
1368819;6726981
1489236;6674956
1489210;6674848
1400640;6754615
1400799;6754542
1400715;6754394
1412078;6760799
1426249;6688672
1397014;6722014
1369280;6725510
1393308;6707569
1620080;6592810
1400826;6703323
1456310;7325470
1399250;6369114
1747980;7124900
1473310;6328710
1452680;7305690
1418010;6707755
1450940;7306930
1648600;6393300
1451530;7323550
1458070;7328620
1704900;6432800
1650500;6314300
1312000;6950100
1316700;6945200
1328700;6961900
1677900;7405300
1707800;7456100
1617900;7593300
1603530;7593970
1597100;7594500
1674100;6372300
1653410;6368790
1648300;6353400
1650700;6370700
1672400;6414500
1399190;6281900
1674100;6372300
1653410;6368790
1424700;6249300
1696900;6422300
1640800;6369100
1396504;6707734
1474800;6800600
1474800;6800600
1463050;6797700
1343850;6285950
1641261;6713823
1474800;6800600
1463050;6797700
1474800;6800600
1474800;6800600
1409869;6722558
1409869;6722558
1410213;6722076
1395354;6707888
1451538;6787995
1400112;6961635
1389957;6982767
