Ost;Nord
1545400;6266600
1351200;6176300
1653410;6368790
1697500;6426600
1353300;6142400
1358500;6141900
1380300;6154500
1352830;6141970
1362900;6145500
1334100;6171900
1543800;6262900
1552200;6291600
1354600;6142000
1541600;6267600
1357800;6172000
1349200;6151800
1354600;6142000
1332800;6168300
1356800;6155400
1392600;6207800
1350700;6173700
1352500;6178600
1355200;6176000
1347800;6176200
1319200;6154400
1318200;6159600
1368000;6146500
1343600;6147900
1321900;6182700
1364400;6145200
1320800;6188100
1355600;6159700
1328600;6155000
1319200;6154400
1356200;6177900
1355400;6174400
1350330;6176760
1341200;6171800
1353390;6141790
1353000;6141600
1349900;6174900
1316500;6158700
1352500;6178600
1353390;6141790
1364400;6145200
1353390;6141790
1436400;6467310
1351720;6142080
1436150;6467380
1551500;6272950
1551500;6272950
1551500;6272950
1352250;6176050
1350800;6178950
1553150;6277450
1545100;6280550
1350800;6178950
1551750;6278400
1362900;6145500
1354600;6142000
1348630;6165280
1352500;6178600
1365110;6167240
1354700;6175500
1351780;6177990
1354800;6175800
1383060;6145860
1351600;6177500
1312690;6146440
1672280;6688120
1351620;6177350
1354600;6142000
1355370;6176340
1353000;6174200
1362900;6145500
1355400;6174400
1352500;6178600
1345397;6164863
1352700;6175900
1354600;6142000
1354080;6177710
1355370;6176340
1319200;6154400
1397220;6211430
1355500;6176310
1551500;6272950
1347000;6189000
1355190;6174430
1349430;6174450
1398970;6210720
1441010;6467370
1396910;6212400
1705340;6432860
1349370;6174470
1357540;6171910
1437120;6465010
1355690;6176170
1649540;6358090
1354080;6177710
1266700;6403850
1705340;6432860
1545690;6283680
1352500;6178600
1351780;6177990
1395690;6221130
1355100;6176790
1354080;6177710
1548530;6283130
1646860;6390620
1397880;6176880
1312700;6147200
1353000;6141600
1351870;6177570
1539855;6268055
1380155;6156655
1452987;6475484
1539355;6267855
1452987;6475484
1452987;6475484
1538955;6265095
1452987;6475484
1436172;6467377
1537630;6273500
1548530;6283130
1354148;6173016
1546016;6283552
1436400;6467310
1649860;6357700
1354080;6173380
1354175;6173059
1354580;6173510
1543046;6245965
1545720;6283790
1554420;6298170
1550720;6274210
1540510;6273580
1551740;6273330
1546940;6257690
1537017;6254403
1589536;6633063
1544300;6278700
1540530;6273670
1540510;6273580
1696460;6418800
1312700;6147200
1356544;6177246
1477210;6562270
1404580;6206690
1353000;6141600
1538820;6234610
1544060;6245370
1545070;6247200
1545070;6247200
1537620;6234650
1355584;6176954
1550560;6274120
1709690;6597150
1354580;6173510
1353000;6141600
1709690;6597150
1663410;6367940
1355370;6176340
1547490;6260690
1709730;6597280
1693120;6596320
1693120;6596320
1709730;6597280
1692680;6591270
1438210;6466520
1545725;6283690
1545893;6283408
1670240;6683460
1670240;6683460
1395030;6204690
1545411;6280506
1545411;6280506
1567950;6336910
1604228;6631803
1405030;6203180
1385523;6144429
1398860;6178135
1363236;6164821
1542430;6246800
1398860;6178135
1547400;6268000
1357500;6170600
1436400;6467310
1649700;6394610
1658540;6540080
1657920;6540890
1551620;6277050
1537630;6273500
1328280;6167940
1659070;6541260
1659070;6541260
1659240;6541710
1547810;6279170
1657690;6402590
1657920;6540890
1395030;6204690
1690082;6580590
1650300;6709400
1658540;6540080
1658900;6540970
1546940;6257690
1444630;6473330
1533710;6289560
1672760;6562580
1659070;6541260
1395050;6204730
1546940;6257690
1690120;6580610
1690120;6580610
1434561;6463055
1536210;6600620
1559525;6301521
1536800;6268700
1551500;6272950
1353728;6177833
1352110;6177230
1444630;6473330
1546940;6257690
1551620;6277050
1547400;6284600
1678920;6574260
1641430;6312820
1403370;6209470
1647700;6390700
1400311;6199286
1709890;6597430
1673990;6560670
1352200;6177790
1358000;6178000
1306670;6322350
1353450;6142030
1376000;6149000
1675660;6365700
1650300;6709400
1355584;6176954
1655400;6320500
1651946;6394419
1551551;6277246
1650300;6709400
1650300;6709400
1551560;6277200
1551551;6277246
1652507;6398273
1538830;6232690
1652405;6316325
1551560;6277200
1645696;6314889
1650300;6709400
1403000;6201100
1316500;6158700
1381120;6148370
1396200;6206800
1352141;6177150
1701033;6595005
1709640;6597340
1576532;6340254
1354486;6173444
1646638;6316680
1346328;6158635
1458256;6473022
1551560;6277200
1546110;6283520
1261300;6404300
1669700;6354247
1425199;6489932
1425199;6489932
1425345;6490430
1694250;6430450
1231409;6477459
1261300;6404300
1317350;6158650
1377173;6160469
1377173;6160469
1539033;6232686
